SectionID,SID,First,Last,ALG01,ALG02,ELA06,ELA07,ELA08,ELA09,ELA10,ELA11,English  --  English (6)  --  Regular,English  --  English (7)  --  Honors,English  --  English (7)  --  Regular,English  --  English (8)  --  Honors,English  --  English (8)  --  Regular,English  --  English 1 (9)  --  Honors,English  --  English 1 (9)  --  PC,English  --  English 1 (9)  --  Regular,English  --  English 2 (10)  --  Honors,English  --  English 2 (10)  --  Regular,English  --  English 3 (11)  --  AP,English  --  English 3 (11)  --  Honors,English  --  English 3 (11)  --  Regular,GEO01,MAT06,MAT07,MAT08,Math  --  6th Grade Mathematics  --  RC,Math  --  6th Grade Mathematics  --  Regular,Math  --  7th Grade Mathematics  --  RC,Math  --  7th Grade Mathematics  --  Regular,Math  --  8th Grade Mathematics  --  Regular,Math  --  Accelerated Math  --  Honors,Math  --  Algebra 1  --  Concepts,Math  --  Algebra 1  --  Honors,Math  --  Algebra 1  --  PC,Math  --  Algebra 1  --  Regular,Math  --  Algebra 2  --  Concepts,Math  --  Algebra 2  --  Honors,Math  --  Algebra 2  --  Regular,Math  --  AP CALC AB  --  AP,Math  --  AP CALC BC  --  AP,Math  --  AP Statistics  --  AP,Math  --  Geometry  --  Concepts,Math  --  Geometry  --  Honors,Math  --  Geometry  --  PC,Math  --  Geometry  --  Regular,Math  --  Math Analysis  --  Honors,Math  --  Math Analysis  --  Regular,Max Abs 2011,Max Abs 2012,Max Abs 2013,Max Abs 2014,Max Abs 2015,Max Abs 2016,NJASK 8,NJBCT,PSATLAL,PSATMATH,Science  --  6th Grade Science  --  Regular,Science  --  7th Grade Science  --  Regular,Science  --  8th Grade Science  --  Honors,Science  --  8th Grade Science  --  Regular,Science  --  AP Biology  --  AP,Science  --  AP Chemistry  --  AP,Science  --  AP Environmental Science  --  AP,Science  --  AP Physics 1  --  AP,Science  --  AP Physics 2  --  AP,Science  --  Biology  --  Concepts,Science  --  Biology  --  Honors,Science  --  Biology  --  PC,Science  --  Biology  --  Regular,Science  --  Chemistry  --  Concepts,Science  --  Chemistry  --  Honors,Science  --  Chemistry  --  Regular,Science  --  Physics  --  Concepts,Science  --  Physics  --  Honors,Science  --  Physics  --  Regular
1,545606,Erik,Baker,756,NA,NA,762,762,788,NA,NA,81.25,NA,79,NA,85.5,NA,86,NA,NA,NA,NA,NA,NA,748,NA,754,762,NA,83.25,NA,77,84.75,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,237,250,400,500,76.5,90,NA,81.75,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA
1,516223,Peter,King,NA,NA,750,731,724,NA,NA,NA,86.5,NA,81.25,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,720,725,NA,83.25,NA,74,82.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,223,NA,NA,NA,85,86.75,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,218928,Kristina,Payne,789,NA,777,778,787,NA,NA,NA,89.75,NA,90.25,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,770,776,NA,NA,95.25,NA,NA,NA,93.25,NA,94.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,265,NA,NA,NA,90.75,97,NA,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,387589,Gerald,Douglas,736,NA,NA,NA,777,NA,762,NA,NA,NA,66.25,NA,73.75,NA,NA,78,NA,87,NA,NA,NA,758,NA,NA,748,NA,67.25,NA,78.5,83.35,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,NA,NA,NA,0,1,1,2,4,242,200,460,500,74.25,84,NA,76.75,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,88,NA,NA,NA
1,484665,Caroline,Kim,766,NA,NA,NA,796,785,784,NA,NA,NA,83,NA,83.75,NA,84,NA,NA,86,NA,NA,NA,753,NA,NA,762,NA,79,NA,85.75,82.675,NA,NA,NA,82.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,NA,NA,NA,0,5,0,3,3,242,230,540,510,87,84.75,NA,82.25,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,84.29,NA,NA,NA
1,702437,Kellie,Hall,759,NA,NA,NA,790,817,801,NA,NA,NA,NA,NA,NA,87,NA,NA,92,NA,NA,NA,NA,779,NA,NA,757,NA,92,NA,88,90.75,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,87.07,NA,NA,NA,NA,NA,6,0,0,2,3,NA,244,660,550,94,90.625,91.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,90.22,NA,NA,NA
1,381885,Steven,Malone,838,NA,788,804,844,NA,NA,NA,94.75,91.75,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,784,798,NA,NA,97.5,NA,NA,NA,96.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,278,NA,NA,NA,96.75,97,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,945622,Guadalupe,Lee,NA,788,NA,NA,NA,803,798,766,NA,NA,NA,NA,NA,88,NA,NA,85,NA,NA,86,NA,749,NA,NA,NA,NA,NA,NA,NA,NA,95.7,NA,94,NA,NA,NA,93,NA,NA,NA,NA,NA,86.55,NA,NA,90,NA,NA,20,2,4,4,6,NA,243,590,630,NA,96.2,NA,98,NA,NA,NA,85.02,NA,NA,87,NA,NA,NA,89,NA,NA,NA,NA
1,487908,Beth,Wright,784,NA,774,790,801,NA,NA,NA,91,NA,90.25,NA,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,780,NA,NA,93.75,NA,NA,NA,89.25,NA,94.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,239,NA,NA,NA,91,93,NA,90.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,262982,Mandy,Little,NA,829,NA,NA,850,826,850,NA,NA,90.75,NA,96.25,NA,94,NA,NA,96,NA,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75,NA,NA,NA,99,NA,NA,NA,NA,NA,98.5,NA,NA,98.6,NA,NA,0,17,1,8,9,300,300,630,690,NA,98.75,96.5,NA,NA,NA,NA,95,NA,NA,98.73,NA,NA,NA,97.28,NA,NA,NA,NA
